Customer_ID,Branch,Region,Loan_Type,Employment_Type,Age,Annual_Income,Loan_Amount,Tenure_Years,Credit_Score,DPD,Interest_Rate,EMI,Collateral_Value,LTV_Percent,Risk_Score,Risk_Category,Risk_Weight_Percent,NPA_Flag,Default_Flag,Loan_Status
CUST10001,Pune,West,Auto Loan,Salaried,24,1251775,95256,25,689,60,10.51,900,2006518,4.75,22,Low,75,No,No,Active
CUST10002,Bengaluru,South,Personal Loan,Salaried,27,343187,552264,30,683,90,6.81,3604,5884724,9.38,35,Medium,75,Yes,No,Active
CUST10003,Hyderabad,South,Personal Loan,Salaried,65,635150,3396145,10,611,0,10.59,45997,5471375,62.07,41,Medium,100,No,No,Active
CUST10004,Pune,West,Education Loan,Salaried,55,689551,989695,30,656,0,16.14,13421,4449113,22.24,30,Low,75,Yes,Yes,Default
CUST10005,Mumbai,West,Auto Loan,Salaried,29,1742518,2233955,20,682,15,17.27,33227,729672,200.0,18,Low,75,No,No,Closed
CUST10006,Ahmedabad,West,Home Loan,Salaried,28,1234096,1302390,15,613,5,12.72,16239,5257901,24.77,26,Low,100,No,No,Active
CUST10007,Hyderabad,South,Business Loan,Self Employed,65,1862678,2265995,10,620,0,11.97,32471,5968103,37.97,24,Low,100,No,No,Active
CUST10008,Hyderabad,South,Education Loan,Salaried,37,347527,529809,5,702,60,6.87,10458,448781,118.06,31,Medium,75,No,No,Overdue
CUST10009,Pune,West,Business Loan,Self Employed,37,1767819,2700432,15,571,90,17.05,41655,4635563,58.25,57,Medium,100,Yes,No,Overdue
CUST10010,Delhi,North,Auto Loan,Self Employed,53,1403697,4225282,25,638,90,6.66,28953,2161513,195.48,48,Medium,100,Yes,No,Closed
CUST10011,Mumbai,West,Auto Loan,Business Owner,52,1167797,3567847,30,836,0,17.84,53305,6161629,57.9,12,Low,50,No,No,Active
CUST10012,Pune,West,Personal Loan,Self Employed,28,1700373,1817413,30,676,90,12.37,19213,2007091,90.55,34,Medium,75,Yes,No,Active
CUST10013,Mumbai,West,Business Loan,Business Owner,39,2342077,4388586,15,667,30,10.6,48784,4991091,87.93,26,Low,75,No,No,Active
CUST10014,Mumbai,West,Business Loan,Salaried,58,774557,2623697,1,676,10,17.59,240029,1147417,200.0,27,Low,75,No,No,Closed
CUST10015,Ahmedabad,West,Home Loan,Salaried,23,1170121,3650952,30,677,30,6.79,23777,6209076,58.8,30,Low,75,No,No,Active
CUST10016,Hyderabad,South,Home Loan,Salaried,25,1579757,2021277,25,740,90,13.48,23530,2801516,72.15,25,Low,75,Yes,No,Closed
CUST10017,Bengaluru,South,Personal Loan,Self Employed,33,1905049,994740,5,735,60,13.09,22679,1294876,76.82,17,Low,75,No,No,Active
CUST10018,Ahmedabad,West,Education Loan,Business Owner,51,663442,3096555,3,673,15,9.13,98657,160786,200.0,33,Medium,75,No,No,Closed
CUST10019,Ahmedabad,West,Business Loan,Salaried,36,1257921,1246311,5,685,5,11.65,27504,4735790,26.32,15,Low,75,No,No,Active
CUST10020,Mumbai,West,Home Loan,Business Owner,52,1600827,4494041,5,792,0,14.33,105339,4523399,99.35,11,Low,50,No,No,Active
CUST10021,Chennai,South,Auto Loan,Salaried,42,2136874,192157,30,594,15,15.23,2465,2075414,9.26,27,Low,100,No,No,Active
CUST10022,Hyderabad,South,Personal Loan,Business Owner,49,1189869,2337319,2,696,0,6.51,104129,5722078,40.85,16,Low,75,No,No,Active
CUST10023,Delhi,North,Business Loan,Salaried,42,673814,4838109,1,709,15,17.74,442959,1314530,200.0,29,Low,75,No,No,Active
CUST10024,Ahmedabad,West,Education Loan,Salaried,63,1931797,1512603,30,646,15,8.47,11598,910175,166.19,27,Low,100,No,No,Overdue
CUST10025,Bengaluru,South,Education Loan,Salaried,23,277406,1325029,1,692,5,9.3,116060,5501188,24.09,29,Low,75,No,No,Active
CUST10026,Chennai,South,Personal Loan,Salaried,30,1756317,3070791,20,636,0,9.66,28945,4928784,62.3,24,Low,100,No,No,Active
CUST10027,Chennai,South,Personal Loan,Salaried,62,564583,186645,2,745,90,6.95,8352,6056095,3.08,21,Low,75,Yes,No,Active
CUST10028,Delhi,North,Home Loan,Salaried,41,1201436,1702131,30,606,0,7.98,12466,121701,200.0,27,Low,100,No,No,Active
CUST10029,Ahmedabad,West,Home Loan,Business Owner,36,1182429,1236837,7,774,0,18.34,26243,2589433,47.76,4,Low,50,No,No,Active
CUST10030,Bengaluru,South,Business Loan,Salaried,32,1789184,392221,5,695,120,10.28,8388,3941631,9.95,34,Medium,75,Yes,No,Active
CUST10031,Hyderabad,South,Education Loan,Salaried,22,1329122,2485919,20,669,0,7.88,20608,5249043,47.36,20,Low,75,No,No,Active
CUST10032,Kolkata,East,Business Loan,Self Employed,61,784489,1229580,2,630,30,7.78,55487,5174895,23.76,31,Medium,100,No,No,Active
CUST10033,Bengaluru,South,Business Loan,Self Employed,44,664273,103687,30,772,0,15.13,1322,1064641,9.74,1,Low,50,No,No,Closed
CUST10034,Delhi,North,Personal Loan,Salaried,55,1913985,2540272,25,654,90,16.75,36021,1433043,177.26,38,Medium,75,Yes,No,Active
CUST10035,Chennai,South,Education Loan,Salaried,50,1939989,2679137,15,618,0,9.58,28106,3911278,68.5,25,Low,100,No,No,Active
CUST10036,Hyderabad,South,Business Loan,Salaried,50,1099424,4848757,15,774,10,6.75,42907,5098705,95.1,20,Low,50,No,No,Active
CUST10037,Bengaluru,South,Education Loan,Salaried,55,1371855,3925010,1,637,30,9.18,343576,6637056,59.14,40,Medium,100,No,No,Overdue
CUST10038,Kolkata,East,Home Loan,Self Employed,39,868332,4826415,2,693,0,7.18,216485,6789177,71.09,29,Low,75,No,No,Closed
CUST10039,Kolkata,East,Personal Loan,Salaried,28,1632591,2089660,5,757,90,7.74,42111,248924,200.0,24,Low,50,Yes,No,Closed
CUST10040,Mumbai,West,Home Loan,Salaried,46,906448,2069450,5,711,60,11.68,45700,2800860,73.89,27,Low,75,No,No,Active
CUST10041,Mumbai,West,Business Loan,Self Employed,60,250463,4750858,3,821,0,9.26,151652,2090923,200.0,25,Low,50,No,No,Overdue
CUST10042,Pune,West,Auto Loan,Salaried,27,2370652,2021140,15,642,10,12.69,25161,1940711,104.14,22,Low,100,No,No,Active
CUST10043,Delhi,North,Home Loan,Self Employed,50,1436348,3911607,20,685,30,9.54,36564,4738821,82.54,27,Low,75,No,No,Active
CUST10044,Ahmedabad,West,Auto Loan,Salaried,27,1313183,3578434,2,691,5,17.79,178287,1363307,200.0,21,Low,75,No,No,Active
CUST10045,Bengaluru,South,Auto Loan,Business Owner,23,1027942,4174390,5,743,10,17.37,104577,1823334,200.0,19,Low,75,No,No,Active
CUST10046,Bengaluru,South,Personal Loan,Salaried,21,300076,2706222,3,790,0,13.3,91575,5925237,45.67,30,Low,50,Yes,Yes,Default
CUST10047,Ahmedabad,West,Home Loan,Business Owner,56,1287268,1177109,2,705,90,10.75,54726,4739693,24.84,29,Low,75,Yes,No,Active
CUST10048,Pune,West,Auto Loan,Self Employed,45,835129,4484315,10,690,120,11.07,61949,3710407,120.86,64,High,75,Yes,Yes,Default
CUST10049,Chennai,South,Personal Loan,Salaried,57,897104,1603744,5,596,90,11.44,35222,6498391,24.68,49,Medium,100,Yes,No,Closed
CUST10050,Chennai,South,Education Loan,Self Employed,21,982242,4316988,10,708,30,15.23,70257,3218451,134.13,30,Low,75,No,No,Active
CUST10051,Pune,West,Personal Loan,Business Owner,35,1102630,1838220,2,654,120,11.92,86463,3372021,54.51,46,Medium,75,Yes,No,Active
CUST10052,Chennai,South,Business Loan,Self Employed,57,2438233,4061718,5,743,0,16.78,100464,190477,200.0,8,Low,75,No,No,Active
CUST10053,Mumbai,West,Personal Loan,Business Owner,33,1340294,4063582,10,671,30,17.83,72776,1214596,200.0,35,Medium,75,No,No,Overdue
CUST10054,Bengaluru,South,Personal Loan,Business Owner,60,1581652,2922875,7,683,30,10.53,49327,1935272,151.03,24,Low,75,No,No,Active
CUST10055,Pune,West,Business Loan,Salaried,28,704480,1880288,3,598,10,13.23,63563,6213415,30.26,36,Medium,100,No,No,Closed
CUST10056,Bengaluru,South,Personal Loan,Salaried,25,216413,1891646,20,573,90,7.64,15401,4494369,42.09,75,High,100,Yes,Yes,Default
CUST10057,Ahmedabad,West,Home Loan,Self Employed,29,1875994,4019579,15,830,0,8.91,40554,2567375,156.56,9,Low,50,No,No,Active
CUST10058,Kolkata,East,Home Loan,Salaried,21,744430,1646246,3,709,5,11.46,54255,6705743,24.55,16,Low,75,No,No,Active
CUST10059,Mumbai,West,Auto Loan,Business Owner,56,2313620,1869239,10,728,0,8.97,23648,4915782,38.03,7,Low,75,No,No,Closed
CUST10060,Hyderabad,South,Auto Loan,Business Owner,55,1128202,4955727,5,636,15,17.02,123216,179354,200.0,38,Medium,100,No,No,Active
CUST10061,Mumbai,West,Auto Loan,Salaried,22,846015,2300618,7,761,5,8.4,36318,5858893,39.27,12,Low,50,No,No,Active
CUST10062,Pune,West,Home Loan,Salaried,60,1651867,4478622,7,749,0,11.97,78988,2417741,185.24,11,Low,75,No,No,Active
CUST10063,Hyderabad,South,Home Loan,Self Employed,43,1095480,2519930,15,644,0,13.77,33170,4930731,51.11,25,Low,100,No,No,Active
CUST10064,Kolkata,East,Home Loan,Salaried,29,222056,181936,7,626,0,14.8,3490,1392928,13.06,22,Low,100,No,No,Closed
CUST10065,Pune,West,Personal Loan,Business Owner,54,2328983,2029746,3,649,90,11.1,66547,5690912,35.67,37,Medium,100,Yes,No,Active
CUST10066,Delhi,North,Auto Loan,Salaried,34,953952,4892256,30,698,60,16.93,69470,1417003,200.0,50,Medium,75,Yes,Yes,Default
CUST10067,Bengaluru,South,Personal Loan,Self Employed,24,1088380,2519970,7,712,30,13.32,46283,2182931,115.44,21,Low,75,No,No,Active
CUST10068,Kolkata,East,Personal Loan,Salaried,50,606488,1346573,15,703,5,11.77,15962,1051636,128.05,17,Low,75,No,No,Active
CUST10069,Bengaluru,South,Business Loan,Self Employed,51,812405,3585647,7,791,0,7.31,54662,6941550,51.65,18,Low,50,No,No,Active
